name,band
Helge Sunde,Oslo Groove Company
"Helliwell, John",The Alan Bown Set
"Hendelman, Tamir",Clayton-Hamilton Jazz Orchestra
"Henriksen, Arve",Magic Pocket
"Henriksen, Arve",Magnetic North Orchestra
"Henriksen, Arve",Veslefrekk
"Henriksen, Arve",Trondheim Jazz Orchestra
Henry Ragas,Original Dixieland Jazz Band
"Henryson, Svante",Magnetic North Orchestra
"Hermansen, Even Helte",Bushman's Revenge
Hermeto Pascoal,Sambrasa Trio
"Herskedal, Daniel",Magic Pocket
"Hiizumi, Masayuki",PE'Z
Hild Sofie Tafjord,Trondheim Jazz Orchestra
Hildegunn Øiseth,Trondheim Jazz Orchestra
"Hillestad, Per",Lava
"Hoiby, Jasper",Phronesis
"Holland, Will",The Quantic Soul Orchestra
"Holte, Wetle",Wibutee
"Hornby, Warwick",The Whitlams
"Horntveth, Lars",Jaga Jazzist
"Horntveth, Line",Jaga Jazzist
"Horntveth, Martin",Jaga Jazzist
"Housden, Jak",The Whitlams
"Houser, Brad",Critters Buggin
Howard E. Scott,Lee Oskar
Howard E. Scott,"Oskar, Lee"
"Howe, Dylan",The Steve Howe Trio
"Howe, Steve",The Steve Howe Trio
Hugh Marsh,The Henrys
"Huke, Kirsti",Trondheim Voices
Humberto Clayber,Sambrasa Trio
Humberto Clayber de Souza,Sambrasa Trio
"Hystad, Jan Kåre",Bergen Big Band
"Hystad, Ole Jacob",Bergen Big Band
Håkon Kornstad,Wibutee
Håkon Mjåset Johansen,Urban Connection
Håkon Mjåset Johansen,Motif
Håkon Mjåset Johansen,Trondheim Jazz Orchestra
Håkon Mjåset Johansen,Come Shine
Håvard Lund,Trondheim Jazz Orchestra
Håvard Wiik,Atomic
Håvard Wiik,Motif
Iain Ballamy,Human Chain
Iain Ballamy,Food
Iain Ballamy,Loose Tubes
Ida Roggen,Pitsj
Idris Rahman,Soothsayers
Ikey Owens,Free Moral Agents
"Iles, Alex",Chris Walden Big Band
"Immerglück, David",Glider
"Inderberg, John Pal",Trondheim Jazz Orchestra
Ingar Zach,Magnetic North Orchestra
Ingar Zach,Trondheim Jazz Orchestra
Ingebrigt Håker Flaten,Atomic
Ingebrigt Håker Flaten,The Thing
Isaiah Ikey Owens,Free Moral Agents
Issei Noro,Ottottrio
"Isungset, Terje",Trondheim Jazz Orchestra
"Itoh, Takeshi",T-Square
Ivan Neville,Dumpstaphunk
"Iversen, Carl Morten",1300
"Iversen, Carl Morten",Extended Noise
"Iverson, Ethan",The Bad Plus
Ivo Neame,Phronesis
Jack Evans,Reverend Zen
"Jackson, Anthony",Paul Peress
"Jackson, Anthony","Peress, Paul"
"Jackson, Milt",Modern Jazz Quartet
"Jahja, Kartika",TIKA and The Dissidents
Jak Housden,The Whitlams
Jake Eckert,Dirty Dozen Brass Band
"Jakobsen, Frank",Bergen Big Band
James Raymond Creeggan,The Brothers Creeggan
James Singleton,Astral Project
Jan Kåre Hystad,Bergen Big Band
Jan Martin Gismervik,Monkey Plot
Jarle Vespestad,Farmers Market
Jarle Vespestad,Veslefrekk
Jason Robinson,Cross Border Trio
Jasper Høiby,Phronesis
Jay Aston,Bucks Fizz
Jay Aston,OBF
Jeff Clayton,Clayton-Hamilton Jazz Orchestra
Jeff Clayton,The Clayton Brothers
Jeff Hamilton,Clayton-Hamilton Jazz Orchestra
"Jenssen, Bjørn",Jazzpunkensemblet
Jess Roden,The Alan Bown Set
Jess Stacy,Peg Meyer’s Melody Kings
Jessica Stevens Lurie,Living Daylights
Jim Black,Human Feel
Jim Creeggan,The Brothers Creeggan
Jim Cullum,Jim Cullum Jazz Band
Jimmy Copley,Manfred Mann's Earth Band
Joe Doria,Skerik's Syncopated Taint Septet
Joe Dukie,Fat Freddy’s Drop
"Johannessen, Erik",Magic Pocket
"Johannessen, Erik",Trondheim Jazz Orchestra
"Johannessen, Erik",Jaga Jazzist
"Johansen, Håkon Mjåset",Urban Connection
"Johansen, Håkon Mjåset",Motif
"Johansen, Håkon Mjåset",Trondheim Jazz Orchestra
